features,n_samples,SHD,error rate,accuracy,precision,recall,f1score,Estimate VAR coef,precomputation,search causal order,estimate adja matrix,total excution time
50,250,47,0.0188,0.9812,0.5,0.553191489,0.525252525,0.02199626,0.200320482,0.205245018,0.285509109,3.450631857
50,500,11,0.0044,0.9956,0.875,0.893617021,0.884210526,0.034985304,0.217764854,0.203326702,0.276647806,4.529398441
50,1000,9,0.0036,0.9964,0.895833333,0.914893617,0.905263158,0.04548955,0.262708664,0.216032505,0.345253468,6.57103014
50,2000,5,0.002,0.998,0.956521739,0.936170213,0.946236559,0.042437315,0.390353441,0.287589312,0.350296259,11.93297672
50,4000,2,0.0008,0.9992,1,0.957446809,0.97826087,0.046980619,0.454982042,0.24896574,0.496348619,28.2982173
50,8000,3,0.0012,0.9988,0.97826087,0.957446809,0.967741935,0.07243228,0.684091806,0.348525524,0.736942768,98.58233237
50,16000,3,0.0012,0.9988,0.97826087,0.957446809,0.967741935,0.10117507,1.3862288,0.514299631,1.235337734,354.3732934
