features,n_samples,SHD,error rate,accuracy,precision,recall,f1score,Estimate VAR coef,search causal order,estimate adja matrix,total excution time
50,250,39,0.0156,0.9844,0.576923077,0.638297872,0.606060606,0.02199626,12.14524007,0.285509109,15.64428186
50,500,10,0.004,0.996,0.87755102,0.914893617,0.895833333,0.034985304,12.86410141,0.276647806,17.17897129
50,1000,8,0.0032,0.9968,0.897959184,0.936170213,0.916666667,0.04548955,14.99619937,0.345253468,20.83920002
50,2000,4,0.0016,0.9984,0.957446809,0.957446809,0.957446809,0.042437315,17.75022578,0.350296259,28.86533594
50,4000,3,0.0012,0.9988,0.97826087,0.957446809,0.967741935,0.046980619,24.762712,0.496348619,53.45245123
50,8000,3,0.0012,0.9988,0.97826087,0.957446809,0.967741935,0.07243228,39.47883272,0.736942768,134.9836221
50,16000,3,0.0012,0.9988,0.97826087,0.957446809,0.967741935,0.10117507,66.87449527,1.235337734,432.8116548
